Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
LC,Land Cover,IND,India,5006,Area from CGLS,6979,Terrestrial barren land,2020,2020,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6979,Terrestrial barren land,2021,2021,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6979,Terrestrial barren land,2022,2022,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6979,Terrestrial barren land,2023,2023,,,,
LC,Land Cover,IND,India,5007,Area from MODIS,6979,Terrestrial barren land,2020,2020,1000 ha,7405.28,E,Estimated value
LC,Land Cover,IND,India,5007,Area from MODIS,6979,Terrestrial barren land,2021,2021,1000 ha,7424.69,E,Estimated value
LC,Land Cover,IND,India,5007,Area from MODIS,6979,Terrestrial barren land,2022,2022,1000 ha,7434.84,E,Estimated value
LC,Land Cover,IND,India,5007,Area from MODIS,6979,Terrestrial barren land,2023,2023,1000 ha,6754.19,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6979,Terrestrial barren land,2020,2020,1000 ha,1254.86,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6979,Terrestrial barren land,2021,2021,1000 ha,1255.85,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6979,Terrestrial barren land,2022,2022,1000 ha,1256.84,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6979,Terrestrial barren land,2023,2023,,,,
LC,Land Cover,IND,India,5013,Area from WorldCover,6979,Terrestrial barren land,2020,2020,1000 ha,20931.13,E,Estimated value
LC,Land Cover,IND,India,5013,Area from WorldCover,6979,Terrestrial barren land,2021,2021,1000 ha,10621.8,E,Estimated value
LC,Land Cover,IND,India,5013,Area from WorldCover,6979,Terrestrial barren land,2022,2022,,,,
LC,Land Cover,IND,India,5013,Area from WorldCover,6979,Terrestrial barren land,2023,2023,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6980,Permanent snow and glaciers,2020,2020,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6980,Permanent snow and glaciers,2021,2021,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6980,Permanent snow and glaciers,2022,2022,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6980,Permanent snow and glaciers,2023,2023,,,,
LC,Land Cover,IND,India,5007,Area from MODIS,6980,Permanent snow and glaciers,2020,2020,1000 ha,389.11,E,Estimated value
LC,Land Cover,IND,India,5007,Area from MODIS,6980,Permanent snow and glaciers,2021,2021,1000 ha,421.17,E,Estimated value
LC,Land Cover,IND,India,5007,Area from MODIS,6980,Permanent snow and glaciers,2022,2022,1000 ha,394.53,E,Estimated value
LC,Land Cover,IND,India,5007,Area from MODIS,6980,Permanent snow and glaciers,2023,2023,1000 ha,384.75,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6980,Permanent snow and glaciers,2020,2020,1000 ha,739.64,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6980,Permanent snow and glaciers,2021,2021,1000 ha,739.64,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6980,Permanent snow and glaciers,2022,2022,1000 ha,739.64,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6980,Permanent snow and glaciers,2023,2023,,,,
LC,Land Cover,IND,India,5013,Area from WorldCover,6980,Permanent snow and glaciers,2020,2020,1000 ha,797.76,E,Estimated value
LC,Land Cover,IND,India,5013,Area from WorldCover,6980,Permanent snow and glaciers,2021,2021,1000 ha,948.01,E,Estimated value
LC,Land Cover,IND,India,5013,Area from WorldCover,6980,Permanent snow and glaciers,2022,2022,,,,
LC,Land Cover,IND,India,5013,Area from WorldCover,6980,Permanent snow and glaciers,2023,2023,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6981,Inland water bodies,2020,2020,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6981,Inland water bodies,2021,2021,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6981,Inland water bodies,2022,2022,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6981,Inland water bodies,2023,2023,,,,
LC,Land Cover,IND,India,5007,Area from MODIS,6981,Inland water bodies,2020,2020,1000 ha,2164.6,E,Estimated value
LC,Land Cover,IND,India,5007,Area from MODIS,6981,Inland water bodies,2021,2021,1000 ha,2256.85,E,Estimated value
LC,Land Cover,IND,India,5007,Area from MODIS,6981,Inland water bodies,2022,2022,1000 ha,2170.94,E,Estimated value
LC,Land Cover,IND,India,5007,Area from MODIS,6981,Inland water bodies,2023,2023,1000 ha,2337.03,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6981,Inland water bodies,2020,2020,1000 ha,5640.28,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6981,Inland water bodies,2021,2021,1000 ha,5661.12,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6981,Inland water bodies,2022,2022,1000 ha,5687.26,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6981,Inland water bodies,2023,2023,,,,
LC,Land Cover,IND,India,5013,Area from WorldCover,6981,Inland water bodies,2020,2020,1000 ha,5859.3,E,Estimated value
LC,Land Cover,IND,India,5013,Area from WorldCover,6981,Inland water bodies,2021,2021,1000 ha,5736.44,E,Estimated value
LC,Land Cover,IND,India,5013,Area from WorldCover,6981,Inland water bodies,2022,2022,,,,
LC,Land Cover,IND,India,5013,Area from WorldCover,6981,Inland water bodies,2023,2023,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6982,Coastal water bodies and intertidal areas,2020,2020,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6982,Coastal water bodies and intertidal areas,2021,2021,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6982,Coastal water bodies and intertidal areas,2022,2022,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6982,Coastal water bodies and intertidal areas,2023,2023,,,,
LC,Land Cover,IND,India,5007,Area from MODIS,6982,Coastal water bodies and intertidal areas,2020,2020,1000 ha,,O,Missing value
